"","vif_value"
"X2014_F10100",37.531720750373
"X2014_F10200",4331.38198216317
"X2014_F10300",254.566876973235
"X2014_F10400",104.049687937789
"X2014_F10500",492225.398318314
"X2014_F11100",37.2614042222289
"X2014_F11200",155.096589118755
"X2014_F12000",1.80068323305831
"X2014_F15100",562968.523644837
"X2014_F15200",65.2451385583713
"X2014_F15300",6.15814447096653
"X2014_F15400",160.900439292318
"X2014_F16100",46.467294741512
"X2014_F16200",1.41846778216672
"X2014_F16300",176.870762168157
"X2014_F17000",8.76814015200063
"X2014_F01000",1.09432721611211
"X2014_F02100",89.2190583077797
"X2014_F02200",4100.90687763216
"X2014_F02300",30894.4644373026
"X2014_F02400",34.2550328296346
"X2014_F03100",3095.37574234568
"X2014_F03200",7904.79692746409
"X2014_F03300",77.866197041037
"X2014_F03400",578.198711167436
"X2014_F04000",27.7957709196285
"X2014_F05100",32413.7889712351
"X2014_F05200",8.02477911442512
"X2014_F05300",324.203529220948
"X2014_F05400",18770.2030141528
"X2014_F05510",36759.7517683078
"X2014_F05520",11226.1651432539
"X2014_F05600",3187.46700681192
"X2014_F06000",57.1780001057331
"X2014_F07001",113077.726630084
"X2014_F07002",221127.769376648
"X2014_F08000",1879.85475755145
"X2014_V16140",7.9363492187173
"X2014_TA",342774.652348977
"X2014_TL",154715.86117505
"X2014_TR",1856386236.19351
"X2014_TC",11877836017.9055
"X2014_WCTA",0.712647674864764
"X2014_RETA",0.0028992071628091
"X2014_EBIT",92715311.3387164
"X2014_LEV",1132.45072249964
"X2014_STA",34284.1880982418
"X2014_EBITTA",25.3253752919796
"X2014_COGSSALES",1.0784269226247e-05
"X2014_ROI",0.0114193294527288
"X2014_EBITDA",6993.29390179519
"X2014_NET",2306046.46263553
"X2014_ROS",0.0241453127550697
"X2014_ROE",251.567036440573
"X2014_ROL",1.7037510128621e-06
"X2014_CAPAS",0.00249176513599105
"X2014_EC",1.86025396552849e-08
"X2014_ER",3.90121881220653e-07
"X2014_GL",18276.3828317581
"X2014_AL",1091.83705732206
"X2014_DEB",4631573754.63969
"X2014_TOD",111231942.800598
"X2014_NT",48089176.0333756
"X2014_STDE",22712100.5283638
"X2014_CTA",4.02674808051298e-06
"X2014_CNS",2.91429478091909e-05
"X2014_ITA",4.66070135774021e-05
"X2014_EBITS",0.159998176286145
"X2014_EBITDATA",15.8211090763844
"X2014_NITA",0.0101470975565765
"X2014_EBITDAIE",462.062594789599
"X2014_EBITIE",437.969313260394
"X2014_APS",32.7054461539057
"X2014_ARL",6.131137004879
"X2014_IOL",0.853410283247306
"X2014_TATL",0.0511519141863764
"X2014_CFS",4717.99052060606
"X2014_CARCL",174.67765710465
"X2014_CFD",757266.722693103
"X2014_WCEBITDA",137.119943583226
"X2014_DTA",40989.4887924539
"X2014_lg",19705895.7233132
"X2014_LD.LDE",0.311848099936201
"X2014_DTA.TAY",19966.9480737213
"X2014_TA_ln",8.33477043543521
"X2014_TL_ln",282.64133597342
"X2014_TR_ln",18767.4465246939
"X2014_TC_ln",111.027958913593
"X2014_RETA_ln",22.4123355362436
"X2014_EBIT_ln",6123.61465256169
"X2014_LEV_ln",30.0873471583004
"X2014_STA_ln",6.29982529429084
"X2014_EBITTA_ln",4.30794613520419
"X2014_COGSSALES_ln",2.14383192013914
"X2014_ROI_ln",2473.01859027629
"X2014_EBITDA_ln",3.2632582543246
"X2014_NET_ln",74.5631513552999
"X2014_ROS_ln",10.9216116451397
"X2014_ROL_ln",21.0219108687231
"X2014_CAPAS_ln",145.36042937697
"X2014_EC_ln",1.28013703155734
"X2014_GL_ln",1203.80451125423
"X2014_AL_ln",24283.6220918377
"X2014_TOD_ln",23.4643601168596
"X2014_STDE_ln",125.607532104583
"X2014_CTA_ln",68.6377958321662
"X2014_CNS_ln",89.1811592058394
"X2014_EBITS_ln",9.04995272092427
"X2014_EBITDATA_ln",68.9653905264299
"X2014_NITA_ln",45.4384323156509
"X2014_EBITDAIE_ln",7.34074316510934
"X2014_EBITIE_ln",2.57241858140348
"X2014_APS_ln",42.9775272719892
"X2014_ARL_ln",850.423537371694
"X2014_F10200_ln",2.71134671310073
"X2014_F10300_ln",2.73406923658733
"X2014_F10400_ln",24.5659812967908
"X2014_F10500_ln",252.374530215983
"X2014_F11200_ln",20.1649882642326
"X2014_F15100_ln",3.35752300337827
"X2014_F02200_ln",13.9749235900242
"X2014_F03100_ln",148.050597427578
"X2014_F03200_ln",104.406834959135
"X2014_F03400_ln",0.00327321048207435
"X2014_F05100_ln",0.00215589613713331
"X2014_F05510_ln",0.00379007931938629
"X2014_F05600_ln",0.00314955124176606
"X2014_F07001_ln",0.00210162171344339
"X2014_V16140_ln",0.000281684932657551
"X2014_F10100_nm",0.000810315619461616
"X2014_F10200_nm",0.00175186868878341
"X2014_F10300_nm",0.000716564583999989
"X2014_F10400_nm",0.00073803850836138
"X2014_F10500_nm",0.000973713789129579
"X2014_F11100_nm",0.000727399627015061
"X2014_F11200_nm",0.000833805342331463
"X2014_F12000_nm",0.00309948300914302
"X2014_F15100_nm",0.000715218415181967
"X2014_F15200_nm",0.000817961434929813
"X2014_F15300_nm",0.0452874246337524
"X2014_F15400_nm",0.000338541028804564
"X2014_F16100_nm",0.000327035808843691
"X2014_F16200_nm",0.000325944677732857
"X2014_F16300_nm",0.0037256606824765
"X2014_F17000_nm",0.000326485825305692
"X2014_F01000_nm",0.000326489034851271
"X2014_F02100_nm",0.000353743766275304
"X2014_F02200_nm",0.000327207911603974
"X2014_F02300_nm",0.00034410224754864
