"","vif_value"
"X2014_F10100",35.4086263737164
"X2014_F10200",4089.15201406753
"X2014_F10300",238.632930871218
"X2014_F10400",95.6579571100512
"X2014_F10500",464426.560741067
"X2014_F11100",35.284764028208
"X2014_F11200",145.883257768595
"X2014_F12000",1.75056266864687
"X2014_F15100",531114.015724729
"X2014_F15200",61.7655633687627
"X2014_F15300",5.58112848828402
"X2014_F15400",152.007160037943
"X2014_F16100",43.6893161687525
"X2014_F16200",1.3877508450315
"X2014_F16300",166.978308550363
"X2014_F17000",8.32045990700864
"X2014_F01000",1.05642755841159
"X2014_F02100",16.9103257480818
"X2014_F02200",654.771586374681
"X2014_F02300",4891.32036480406
"X2014_F02400",13.4108004428624
"X2014_F03100",494.524701805674
"X2014_F03200",1260.84634589774
"X2014_F03300",17.3154652857303
"X2014_F03400",93.8185324622755
"X2014_F04000",5.74649603146014
"X2014_F05100",4983.29276678362
"X2014_F05200",2.21077691259433
"X2014_F05300",51.7304167951427
"X2014_F05400",2882.31383938616
"X2014_F05510",5642.18914748412
"X2014_F05520",1729.08359436283
"X2014_F05600",1059.27835457414
"X2014_F06000",26.7459611974861
"X2014_F07001",49435.8594061226
"X2014_F07002",96653.7392383908
"X2014_F08000",822.344286723636
"X2014_V16140",1.84421356914365
"X2014_TA",66010.1959015648
"X2014_TL",129275.895754098
"X2014_TR",1413895607.90913
"X2014_TC",6998956278.54431
"X2014_WCTA",0.662537219993156
"X2014_RETA",0.00230035741251868
"X2014_EBIT",83081566.2515845
"X2014_LEV",583.273149615043
"X2014_STA",11119.5254428365
"X2014_EBITTA",21.3678275238283
"X2014_COGSSALES",1.00224024870357e-05
"X2014_ROI",0.0105822373377446
"X2014_EBITDA",6682.00177127312
"X2014_NET",1214119.78843664
"X2014_ROS",0.0217066841203278
"X2014_ROE",233.630105604858
"X2014_ROL",1.61542533481172e-06
"X2014_CAPAS",0.00205132700799217
"X2014_EC",1.74905430127022e-08
"X2014_ER",3.75068146035024e-07
"X2014_GL",6692.07822472496
"X2014_AL",945.104649524128
"X2014_DEB",4326815587.24718
"X2014_TOD",61840220.6149178
"X2014_NT",43944287.4568361
"X2014_STDE",16865742.9574162
"X2014_CTA",3.78937921277135e-06
"X2014_CNS",2.78245621601915e-05
"X2014_ITA",3.80819837710048e-05
"X2014_EBITS",0.140313410376566
"X2014_EBITDATA",15.415980140984
"X2014_NITA",0.00943125895763443
"X2014_EBITDAIE",317.310995353737
"X2014_EBITIE",423.380905550428
"X2014_APS",30.4531077200372
"X2014_ARL",5.37655052141417
"X2014_IOL",0.747630154075823
"X2014_TATL",0.0425877088266723
"X2014_CFS",2963.73889491907
"X2014_CARCL",143.040012127199
"X2014_CFD",0.0921731271457784
"X2014_WCEBITDA",0.00315312921185217
"X2014_DTA",0.0591024617346083
"X2014_lg",31.7980555161533
"X2014_LD.LDE",0.00014391686309231
"X2014_DTA.TAY",0.001268212985765
