"X","X2014_F05600_ln","X2014_F10400_ln","X2014_CAPAS_ln","X2014_F05510_ln","X2014_F10500_ln","X2014_F10300_ln","X2014_RETA_ln","X2014_F02200_ln","X2014_V16140_ln","not_survive"
1,2.484906649788,1.6094379124341,0.182321556793955,1.38629436111989,6.37672694789863,5.19849703126583,-3.77276093809464,1.79175946922805,3.61091791264422,0
2,0,4.67282883446191,-6.98378996525813,5.74300318780948,5.50125821054473,5.26785815906333,-2.50959926237837,5.90263333340137,3.63758615972639,1
3,1.6094379124341,0,-0.405465108108164,1.6094379124341,2.30258509299405,5.14749447681345,0,1.6094379124341,2.99573227355399,0
5,3.43398720448515,1.09861228866811,0.336472236621213,1.79175946922805,9.40557815403668,4.96284463025991,-7.09506437728713,0.693147180559945,3.13549421592915,1
7,1.79175946922805,2.63905732961526,-6.0591231955818,1.09861228866811,5.35185813347607,4.66343909411207,-2.58668934409794,3.63758615972639,2.89037175789616,0
9,4.15888308335967,2.30258509299405,0.151806012868004,2.39789527279837,2.30258509299405,4.49980967033027,-2.17681570570501,3.95124371858143,2.56494935746154,0
10,3.46573590279973,2.07944154167984,-2.54335024565807,6.12468339089421,6.73459165997295,4.62497281328427,-0.103827612696978,4.51085950651685,2.63905732961526,0
12,7.98786409608569,4.93447393313069,-1.544279802488,9.24116051431607,10.1871239522792,7.19593722647557,-0.607870852424,7.45414107814668,4.9416424226093,0
13,6.7900972355139,4.17438726989564,-1.53032445509142,8.15593633797239,8.4767877767812,5.79301360838414,-0.363454436987331,5.58724865840025,3.76120011569356,0
16,0,0,-2.91777073208428,0.693147180559945,3.78418963391826,4.27666611901606,-2.44716632180515,0,3.40119738166216,0
17,4.79579054559674,3.55534806148941,-1.86141547071278,3.85014760171006,7.30988148582479,4.4188406077966,-3.62858722385782,4.46590811865458,2.56494935746154,0
18,0.693147180559945,2.07944154167984,-6.57048272219015,6.11146733950268,6.22851100359118,4.40671924726425,-1.43233552799883,2.94443897916644,2.63905732961526,1
19,1.79175946922805,3.17805383034795,-3.53611669956153,5.08759633523238,7.88908440703551,5.06890420222023,-0.622830682142486,4.86753445045558,3.29583686600433,0
20,5.30826769740121,4.52178857704904,-2.46431768721038,6.84481547920826,8.00034949532468,5.20948615284142,-1.33718465708514,7.64730883235624,3.29583686600433,0
