"X","X2014_NT_nm","X2014_STA_nm","X2014_TATL_nm","X2014_LD.LDE_nm","X2014_F11100_nm","X2014_ARL_nm","X2014_WCEBITDA_nm","X2014_F10300_nm","X2014_F05200_nm","X2014_EBITDAIE_nm","X2014_ROS_nm","X2014_EBITIE_nm","X2014_ROL_nm","X2014_COGSSALES_nm","X2014_RETA_nm","X2014_EBITDA_nm","X2014_V16140_nm","X2014_DEB_nm","X2014_EBITDATA_nm","X2014_EBITTA_nm","X2014_ROI_nm","X2014_AL_nm","X2014_IOL_nm","X2014_F16200_nm","X2014_TOD_nm","X2014_WCTA_nm","X2014_CARCL_nm","X2014_CFD_nm","X2014_NET_nm","X2014_CFS_nm","X2014_APS_nm","X2014_ROE_nm","X2014_ER_nm","X2014_CAPAS_nm","X2014_F01000_nm","X2014_GL_nm","X2014_F12000_nm","not_survive"
1,-0.096776215688062,0.066493109874582,-0.125335396011353,1.09721309650528,-0.0862486481724389,0.0299534649089621,-0.333739749132454,-0.313469703371631,-0.0200943546900195,0.680197609293608,0.0284307431575174,1.27482219006721,-0.166921972417203,-0.0824641659979639,-0.791623947636604,-0.279179374558047,0.15057865989462,0.101574611026125,0.106359378912323,0.109457590858278,-0.193550076431788,-0.175354056100982,-0.0167786612012679,-0.02084670383929,-0.0337648631623661,-0.171949177273257,-0.227954049180299,-0.170349271725427,-0.150128317757065,-0.0321114226334873,-0.0327246102011114,-0.158702775192541,-0.0241293616049873,-0.0124451617084148,-0.0425395019277903,-0.17597079280575,-0.0929432656554016,0
2,-0.127886104373642,-0.149789051679802,-0.14665054855724,1.09721309650528,0.0621193237448801,-0.224703238177625,-0.112265873303227,-0.291284206154469,-0.0200943546900195,1.38707563351116,-3.37740254627143,1.04468401921708,-0.29852695830398,16.8304241036518,-0.853322875214431,-0.220756765517791,0.183347799886596,1.18947489775279,-0.112700504002586,-0.121316281976192,-3.93225273710002,0.137737640192179,-0.0167786612012679,-0.02084670383929,-0.0334032636330674,0.0642638692381841,-0.251059980958556,0.219283048240193,-0.800065888278614,1.21591755295602,0.172049280064805,-4.40984607718695,39.7681219022086,-0.0866089751315583,-0.0425395019277903,-0.178128390105261,-0.0929432656554016,1
3,-0.0928294387652645,-0.00902372119327021,-0.132378733513251,0.787403482666923,-0.0862486481724389,-0.0678182936004081,-0.0688086110495557,-0.328828893752742,-0.0200943546900195,0.147374977973847,0.0329291697532302,0.174474060690025,-0.170282748574172,-0.360394759514332,-0.853322875214431,-0.330377682480422,-0.40649671996896,-0.171699355434397,0.218635338633216,0.227159426056358,-0.14864221712334,-0.105861547970898,-0.0167786612012679,-0.02084670383929,-0.0341837079997333,-0.0731266376975372,-0.0879399361887151,-0.129767011352888,-0.156429651543285,-0.0249676589627772,-0.0293278949901139,-0.204739289910921,-0.0321548814720313,-0.0112641681601695,-0.0425395019277903,-0.178128390105261,-0.0929432656554016,0
5,2.68380199657905,-0.01401801097447,-0.136659437710424,-1.07145420036324,-0.0862486481724389,-0.172747152300272,-0.901437791174906,-0.378319618314102,-0.0200943546900195,-0.463034106678441,0.0229370929350785,-0.444022273469698,-0.192008308727866,-0.543977463084952,-0.853322875214431,-0.287345975821739,-0.308189299993034,0.107917266050147,-0.167474941083499,-0.163640388958596,-0.230588030015746,-0.126595911963232,-0.0167786612012679,-0.02084670383929,-0.0341837079997333,-0.29369143802132,-0.233894290190505,-0.109671364765476,-0.129423935316628,-0.0250155792651182,-0.0278299804935491,-0.16527942015231,-0.0173637486382234,-0.0277359202804332,-0.0425395019277903,-0.178128390105261,-0.0929432656554016,1
7,-0.187126452107004,0.0480931663576567,-0.122358674133855,-0.76164458652488,-0.0862486481724389,-0.227497638673619,-0.0494371351654068,-0.441462956547561,-0.0200943546900195,-0.152781771002952,0.0164564295553671,-0.15455160544727,-0.214942119069735,-0.0209531127992686,-0.853322875214431,-0.324095681508352,-0.47203499995291,-0.174552050749575,0.176024146567283,0.160025009545759,-0.277114884229195,-0.174536497181804,-0.0167786612012679,-0.02084670383929,-0.0255463531182289,0.0146881627574497,-0.260251302376026,-0.169430572430454,-0.164531366411283,-0.0389219466465635,-0.0326790933441828,-0.212777411528416,-0.0086705215851658,-0.0420657566481894,-0.0425395019277903,-0.131524288435811,-0.0929432656554016,0
9,-0.174499345546812,0.00862415252576083,0.0448298378204551,-1.07145420036324,-0.0862486481724389,-0.116335023820808,-0.0678671547990238,-0.46876818389176,-0.0200943546900195,0.580737384780586,0.120018368219398,0.106151791218893,1.42488564878687,0.720997641020528,-0.548962701544432,-0.303993278397726,-0.635880699912787,-0.175140583160196,0.217725975705345,0.211560349731092,0.755592625682921,-0.0124262429220471,-0.0167786612012679,-0.02084670383929,-0.0318756723016068,0.0663129075431299,-0.238219601548602,0.0324090338681925,-0.0970170758446397,-0.0348292098406231,-0.0355891655870506,-0.164621755656333,-0.161033154607598,-0.0132970259071491,-0.0425395019277903,-0.12958245086625,-0.0929432656554016,0
10,-0.190425343572981,-0.0561432344751957,0.560028598542388,-1.07145420036324,-0.0862486481724389,-0.0361769478044951,1.04003856082683,-0.448289263383611,-0.0200943546900195,0.0514669043362898,0.0377854038574478,0.0486172485063606,0.353038110153755,-0.467950609639565,1.56589572593626,-0.338858383792718,-0.603111559920811,-0.173183806610232,-0.133340001179453,-0.131245669614413,-0.107503930541166,-0.0435713446049973,-0.0167786612012679,-0.02084670383929,-0.00372350130238682,0.335888566852097,-0.0966472815240128,-0.00635002096451819,-0.12852374477574,-0.0372094750811632,-0.0360672232333776,-0.204739289910921,-0.0393413417485805,-0.0389324231223361,-0.0425395019277903,1.14160195809601,-0.0929432656554016,0
12,-0.190630139734612,-0.0714594372317772,-0.0755992767262592,-1.07145420036324,-0.0502806549803616,-0.11743219555372,2.10076959555805,1.65421324211968,-0.0200943546900195,-0.00674890167827717,0.0685991211415975,-0.00931683964167514,-0.0340760909372977,-0.498238158087168,0.608086588607657,0.433513635723358,3.52580007906808,-0.167849146262195,-0.158829087201035,-0.155835929303475,0.174598150060623,-0.171045895219602,-0.0167786612012679,-0.02084670383929,0.00194296782917477,0.252649579263993,-0.223403583847556,-0.164987907183119,2.78449284553968,-0.0350746789340524,-0.0326930228228812,-0.12348417034676,-0.0847430934223917,-0.0357469780434181,-0.0425395019277903,0.00643438266616944,-0.0929432656554016,0
13,-0.190998584470645,-0.0876884451190838,0.0610284378598955,-1.07145420036324,-0.0862486481724389,-0.104834082479337,2.36616162783824,-0.0626029271468067,-0.0200943546900195,-0.379337953840115,0.089102821629582,-0.368076677089155,0.274984605767816,-0.360756689481888,1.01271569395937,-0.0699887421880974,0.347193499846472,-0.136747277748829,-0.149715284648627,-0.147415799320687,0.388771615699748,-0.166310127932938,-0.0167786612012679,-0.02084670383929,0.0201160203426553,0.355604589034981,-0.233111735557041,-0.159094400531341,0.726657269068404,-0.0367375510568156,-0.0343199317227011,1.08559845119567,-0.115253513543928,-0.035676121515831,-0.0425395019277903,0.304573030084607,-0.0929432656554016,0
16,-0.0737920441964768,0.165682239501165,-0.156920714225737,1.09721309650528,-0.0862486481724389,-0.229057318218748,-1.0128158211205,-0.499486564653983,-0.0200943546900195,-0.129692790312429,-0.219392660578408,-0.10600683503357,-0.408087668609654,-0.526151144447477,-0.853322875214431,-0.366813288118432,-0.0788053200492067,0.395698369001784,1.28913490286582,1.31038132009117,-1.50507859799036,-0.162798686985042,-0.0167786612012679,-0.02084670383929,-0.0341837079997333,-1.63537514069375,-0.261705160137448,-0.15472452774599,-0.183435367769943,-0.032899392188334,-0.01927818680917,-2.13169626312312,0.341241617063657,-0.686398813240413,-0.0425395019277903,-0.178128390105261,-0.0929432656554016,0
