"","predictors","vif_value"
"1","X2014_TOD_nm12_",4.7604667302956
"2","X2014_LEV_nm12_",3.91079174527987
"3","X2014_IOL_nm12_",2.89408943036896
"4","X2014_APS_nm12_",2.67782109490839
"5","X2014_F05200_nm12_",2.21077691259422
"6","X2014_NITA_nm12_",2.12077648590348
"7","X2014_NET_nm12_",2.09767982504706
"8","X2014_EBITDAIE_nm12_",2.08482388358619
"9","X2014_ROE_nm12_",2.05775211653386
"10","X2014_EBITTA_nm12_",2.02269697660736
"11","X2014_WCTA_nm12_",1.94769820028189
"12","X2014_ROI_nm12_",1.92535053192003
"13","X2014_V16140_nm12_",1.84421356914366
"14","X2014_AL_nm12_",1.82531435617975
"15","X2014_EBITS_nm12_",1.78431511531728
"16","X2014_F12000_nm12_",1.75056266864692
"17","X2014_STA_nm12_",1.7272469200003
"18","X2014_COGSSALES_nm12_",1.65124438750683
"19","X2014_GL_nm12_",1.63140383622604
"20","X2014_ARL_nm12_",1.45268087517725
"21","X2014_F16200_nm12_",1.38775084503154
"22","X2014_DEB_nm12_",1.27222508161151
"23","X2014_TC_nm12_",1.25455307403969
"24","X2014_CFS_nm12_",1.21018742077358
"25","X2014_CARCL_nm12_",1.19701730845842
"26","X2014_EBITDA_nm12_",1.18164644343539
"27","X2014_TATL_nm12_",1.17300877522841
"28","X2014_EBITIE_nm12_",1.16321040743363
"29","X2014_ROS_nm12_",1.10961059304334
"30","X2014_EC_nm12_",1.10540417808896
"31","X2014_ROL_nm12_",1.06290197180092
"32","X2014_F01000_nm12_",1.05642755841148
"33","X2014_ER_nm12_",1.05362608248786
