"","predictors","vif_value"
"1","X2014_DEB_nm4_",4.6653629747288
"2","X2014_EBITIE_nm4_",4.1092586026581
"3","X2014_ROI_nm4_",3.72593600041948
"4","X2014_AL_nm4_",3.23915592575919
"5","X2014_F05200_nm4_",2.21077691259414
"6","X2014_IOL_nm4_",2.20700670216846
"7","X2014_WCTA_nm4_",2.01099103166995
"8","X2014_V16140_nm4_",1.8442135691437
"9","X2014_CNS_nm4_",1.83207803703105
"10","X2014_F12000_nm4_",1.75056266864682
"11","X2014_EBITTA_nm4_",1.52188392194642
"12","X2014_F16200_nm4_",1.38775084503151
"13","X2014_EBITS_nm4_",1.32027046542455
"14","X2014_ARL_nm4_",1.31971498977992
"15","X2014_NET_nm4_",1.23194245945646
"16","X2014_TOD_nm4_",1.20122403370812
"17","X2014_F01000_nm4_",1.0564275584116
"18","X2014_LEV_nm4_",0.900275223036438
"19","X2014_NITA_nm4_",0.82833675962573
"20","X2014_CARCL_nm4_",0.705372698501275
"21","X2014_APS_nm4_",0.668496367295788
"22","X2014_ROS_nm4_",0.634457795039439
"23","X2014_ROE_nm4_",0.557306927658261
"24","X2014_STA_nm4_",0.454703789500172
"25","X2014_TC_nm4_",0.368705148491066
"26","X2014_ER_nm4_",0.220152222227747
"27","X2014_ROL_nm4_",0.14704604933117
"28","X2014_TATL_nm4_",0.142934809569619
"29","X2014_EC_nm4_",0.120288058082082
"30","X2014_GL_nm4_",0.0190305623639626
"31","X2014_CFS_nm4_",0.00196125593306368
