"","X2014_RETA_nm11_","X2014_CTA_nm11_","X2014_NET_nm11_","X2014_IOL_nm11_","X2014_APS_nm11_","X2014_GL_nm11_","X2014_CFS_nm11_","X2014_F05200_nm11_","X2014_NITA_nm11_","X2014_TC_nm11_","X2014_ROE_nm11_","X2014_EBITTA_nm11_","X2014_WCTA_nm11_","X2014_AL_nm11_","X2014_ROI_nm11_","X2014_V16140_nm11_","X2014_STA_nm11_","X2014_F12000_nm11_","X2014_EBITDAIE_nm11_","X2014_EBITS_nm11_","X2014_F16200_nm11_","X2014_ARL_nm11_","X2014_COGSSALES_nm11_","X2014_DEB_nm11_","X2014_TATL_nm11_","X2014_CARCL_nm11_","X2014_ROS_nm11_","X2014_F01000_nm11_","X2014_ROL_nm11_","X2014_EBITDA_nm11_","X2014_EBITIE_nm11_","X2014_ER_nm11_","X2014_EC_nm11_","not_survive"
"5102",0.00639493467701096,0.00215998320615438,0.00284980611485389,0,0.000145117515485533,0.000218424143980816,0.000204436048473682,0,0.000324743253634223,0.00229935052313967,4.11825084647323e-05,0.000279377882933487,-0.0020575568853813,8.17744432389359e-05,0.00230509007690317,0.00764439036544064,0.000791148196580897,0.0382084873541124,0.00150203913890814,0.00117151319324733,0,0.00226388367510145,0.00139440914160255,1.88369885957433e-05,0.000580015194459131,0.00325487212082235,0.000294012160813082,0,0.000396956954703461,0.00293394905283117,0.00115617810207543,0.00699823764781855,0.0124903385959268,0
"5103",0.0179458858454911,0.0291528650212307,0.000372219574184998,0,2.03445236594488e-05,0,0.00020360216459175,0,0.000801461997638111,0.000233988394582323,0.000538969776087011,0.0045483348421554,-0.000778545425630612,0.00395182298241733,0.00295857552020586,0.00470424022488655,0.00157609042828543,0,0.0207952024388,0.00957379892882104,0,0.00468981357492085,0.00471137861715203,2.78336037941895e-05,0.00208156618094425,0.00349033095509461,0.000364237621841414,0,0.00351590445594493,0.00193426145127904,0.0209192224766519,0.00690663708055328,0.0126559940498586,0
"5104",0.0126171435490188,0.00457051206161676,-0.00928222563123838,8.39684152120673e-06,6.0450785144352e-05,0.00119501103174531,4.14745150094306e-05,0,-0.00197603451637294,0.00204785905967127,-0.000672027939558492,0.00151882506919521,0.000139514919023637,0.00149646857500494,-0.00843004370981736,0.00764439036544064,0.0010685208665658,0,0.00377759644094095,0.00471560862566679,0,0.000193435919738948,0.00642374715069524,2.89208539424001e-05,0.00101311764087464,0.000601425189779248,-0.00132462978880608,0,-0.00421908534713391,0.00667607467243438,0.00371867810248664,0.00894769789102191,0.00976903320391747,0
"5105",0.0085968510263265,0.0109723240698033,0.00317549824226576,0,0.000327686126147089,0.00110218323281917,0.000345077565923653,0,0.000487524656309819,0.000639783228493792,0.00459808590224231,0.000812064492935719,0.000189086907260344,0.00196908364703339,0.00923117097381723,0.01793491585738,0.000318545755264851,0,0.00115464846808703,0.00845729936267029,0,0.00035379513458747,0.0112342236669191,0.0012725175734656,0.000638549977557934,0.0032956599920106,0.00109624534246021,0,0.000656077864984938,0.00536996941523408,0.00104764138266606,0.00613575358480887,0.0142460671843845,1
"5106",0.00578802861093891,0.00267274487742536,0.000535065637890934,0,0.000120040087599351,0.00215215019564142,9.47358232720401e-05,0,0.000206178150416289,0.000881601943367255,0.000707397831114202,0.00103662361988599,0.00145581111892822,0.000553619440854778,0.00112878776051741,0.0102905254919393,0.00108376954976574,0,0.00242038769859741,0.00274655169212718,0,0.00391628460455082,0.00485948593554193,0.000680183692720507,0.000371571982772825,0.00133197282596336,0.000145533292216939,0,0.000151666466727036,0.00202618674797349,0.00239903622333759,0.0071693956100119,0.01219215154956,0
"5107",0.00478229535959209,0.000618549528775584,0.000348955850798435,0,0.000199543743695219,0.00220419073489333,2.62297645223506e-05,0,0.000123994659425232,0.000815274524430534,0.000505284165081573,0.00105052074699693,0.00110813285181353,9.6779338344914e-05,0.000796057396326572,0.00735037535138523,0.00077979232387645,0,0.00111182270464871,0.00446929150835637,0,0.000179012164476798,0.0092393342982252,0.000818481911572886,0.000428945196802822,0.000118211773542304,0.000113895619995865,0,0.00011209047149665,0.0027922308870939,0.00108438926567205,0.00721933915309801,0.0121078059836689,0
"5108",0,0.00019467527804875,-0.000569961222970777,0,2.03921070048062e-05,0.00140920302342667,1.31062916453918e-05,0,-0.0011473254672584,0.00026116421206334,-2.61170085326973e-05,0.00151984985507272,0.000454905902766725,3.11473732604322e-05,-0.0040589099343565,0.00441022521083114,0.00133220841665556,0,0.00391196877561584,0.0037847876469021,0,0.00105611565374713,0.00426918901019691,7.98234286027982e-07,0.00245688374076109,0.000134473589968248,-0.000616875411003248,0,-0.00594066614970004,0.00072774193216439,0.00373857590446189,0.00803618604765374,0.0108770948404729,0
"5109",0.00457337221091915,0.00035041550048775,-8.14230318529682e-05,0,0.000194611688990744,0.00866565164331165,3.10184282825919e-05,0,-3.27807276359542e-05,0.000718086431405199,-0.000117899638519034,0.000254446773489703,0.00350277545130379,9.91398100118636e-05,-0.000210886276255854,0.00411621019677573,0.000859703726673363,0,0.00168832336631842,0.000981886170312417,0,0.000257228616674133,0.000700474500649731,0.000776731505881602,0.000398934090045194,0.00070104937986943,-2.73119544083728e-05,0,-2.75602812896019e-05,0.000628156194078737,0.00156474103866523,0.00737481417504792,0.0118525505485631,0
"5110",0.00233795012820426,0.0136029350536564,0.000360587712491716,0,3.5478430682343e-05,0,0.000316609012227108,0,0.00195074597940745,5.15879925063389e-05,0.000421070137567978,0.00257008318189263,-0.000916919710264181,0.00156567462922439,0.012999901588226,0.00382219518272032,0.00106441652209135,0,0.00518850595502733,0.00801029622510844,0,0.0108216650653956,0.00147823523214038,0.000447947061062738,0.00176743264451651,0.00131864050023059,0.00131272003046517,0,0.0072662025422862,0.00042898471790743,0.00483074414621481,0.00575014331027838,0.01520142248277,0
"5111",0,0.0136554195262121,0.0118179714803737,0,6.31711849749675e-05,0.000349187804571459,0.000187783883602595,0,0.00231122010999865,0.00194790732419024,0.00167767552850614,0.000281214317559098,-0.00116897250002651,0.000716663408051569,0.0112837229996217,0.00382219518272032,0.00140756630768848,0,0.000701908273136812,0.000662798580755834,0,0.00296992523235557,0.000831302943994175,8.72358354211273e-05,0.000716885711568003,0.00318563929484055,0.00117613031361562,0,0.00349184645869017,0.00143633276085077,0.000647281527892023,0.00591955249295403,0.0147663793673692,0
