"","predictors","vif_value"
"1","X2014_DEB_nm33_",4.66536297472882
"2","X2014_EBITIE_nm33_",4.10925860265808
"3","X2014_ROI_nm33_",3.72593600041991
"4","X2014_AL_nm33_",3.2391559257592
"5","X2014_F05200_nm33_",2.21077691259425
"6","X2014_IOL_nm33_",2.20700670216849
"7","X2014_WCTA_nm33_",2.01099103164338
"8","X2014_V16140_nm33_",1.84421356914365
"9","X2014_CNS_nm33_",1.83207803703111
"10","X2014_F12000_nm33_",1.75056266864695
"11","X2014_EBITTA_nm33_",1.52188392194641
"12","X2014_F16200_nm33_",1.38775084503159
"13","X2014_EBITS_nm33_",1.32027046542455
"14","X2014_ARL_nm33_",1.31971498977994
"15","X2014_NET_nm33_",1.2319424594612
"16","X2014_TOD_nm33_",1.20122403370807
"17","X2014_F01000_nm33_",1.0564275584116
"18","X2014_LEV_nm33_",0.90027522303645
"19","X2014_NITA_nm33_",0.828336759607869
"20","X2014_CARCL_nm33_",0.705372698501269
"21","X2014_APS_nm33_",0.668496367295786
"22","X2014_ROS_nm33_",0.63445779504319
"23","X2014_ROE_nm33_",0.557306927664047
"24","X2014_STA_nm33_",0.454703789500172
"25","X2014_TC_nm33_",0.368705148491063
"26","X2014_ER_nm33_",0.220152222227745
"27","X2014_ROL_nm33_",0.147046049331151
"28","X2014_TATL_nm33_",0.142934809569621
"29","X2014_EC_nm33_",0.1202880580821
"30","X2014_GL_nm33_",0.0190305623639618
"31","X2014_CFS_nm33_",0.00196125593306375
