"","predictors","vif_value"
"1","X2014_STA_nm9_",4.46847635056278
"2","X2014_DTA.TAY_nm9_",3.3174669042572
"3","X2014_TATL_nm9_",3.0150955444143
"4","X2014_CFD_nm9_",2.55503008552981
"5","X2014_F05200_nm9_",2.21077691259415
"6","X2014_CTA_nm9_",2.08301087146461
"7","X2014_WCTA_nm9_",2.05281838663476
"8","X2014_V16140_nm9_",1.84421356914371
"9","X2014_F12000_nm9_",1.75056266864721
"10","X2014_TR_nm9_",1.74697744684328
"11","X2014_ROE_nm9_",1.42642189255151
"12","X2014_F16200_nm9_",1.38775084503172
"13","X2014_CARCL_nm9_",1.35143234679434
"14","X2014_ROI_nm9_",1.25209676415258
"15","X2014_DEB_nm9_",1.21778872694198
"16","X2014_F01000_nm9_",1.0564275584116
"17","X2014_ITA_nm9_",0.996603746582353
"18","X2014_ROL_nm9_",0.867718831001651
"19","X2014_EBITS_nm9_",0.489032199774119
"20","X2014_EBITIE_nm9_",0.319450970260947
"21","X2014_RETA_nm9_",0.241228789768955
"22","X2014_COGSSALES_nm9_",0.217861598874589
"23","X2014_STDE_nm9_",0.206225053872351
"24","X2014_EBITDATA_nm9_",0.0593803542631069
"25","X2014_ER_nm9_",0.0370339353359084
"26","X2014_EBITTA_nm9_",0.0311134707346941
"27","X2014_EBITDA_nm9_",0.012942497121769
"28","X2014_EBITDAIE_nm9_",0.0117221152782289
"29","X2014_EC_nm9_",0.00262798597906254
"30","X2014_ARL_nm9_",0.000692755793311613
