"","predictors","vif_value"
"1","X2014_DEB_nm3_",4.66536297472882
"2","X2014_EBITIE_nm3_",4.10925860265808
"3","X2014_ROI_nm3_",3.7259360004199
"4","X2014_AL_nm3_",3.23915592575919
"5","X2014_F05200_nm3_",2.21077691259451
"6","X2014_IOL_nm3_",2.20700670216849
"7","X2014_WCTA_nm3_",2.01099103164339
"8","X2014_V16140_nm3_",1.84421356914366
"9","X2014_CNS_nm3_",1.8320780370311
"10","X2014_F12000_nm3_",1.75056266864686
"11","X2014_EBITTA_nm3_",1.52188392194642
"12","X2014_F16200_nm3_",1.38775084503189
"13","X2014_EBITS_nm3_",1.32027046542455
"14","X2014_ARL_nm3_",1.31971498977998
"15","X2014_NET_nm3_",1.23194245946116
"16","X2014_TOD_nm3_",1.20122403370816
"17","X2014_F01000_nm3_",1.05642755841167
"18","X2014_LEV_nm3_",0.90027522303642
"19","X2014_NITA_nm3_",0.82833675960787
"20","X2014_CARCL_nm3_",0.705372698501265
"21","X2014_APS_nm3_",0.668496367295782
"22","X2014_ROS_nm3_",0.634457795043188
"23","X2014_ROE_nm3_",0.557306927664044
"24","X2014_STA_nm3_",0.45470378950017
"25","X2014_TC_nm3_",0.368705148491062
"26","X2014_ER_nm3_",0.220152222227745
"27","X2014_ROL_nm3_",0.147046049331151
"28","X2014_TATL_nm3_",0.14293480956962
"29","X2014_EC_nm3_",0.1202880580821
"30","X2014_GL_nm3_",0.0190305623639621
"31","X2014_CFS_nm3_",0.00196125593306374
