"","predictors","vif_value"
"1","X2014_TOD_nm1_",4.76046673029543
"2","X2014_LEV_nm1_",3.91079174527988
"3","X2014_IOL_nm1_",2.89408943036979
"4","X2014_APS_nm1_",2.67782109490842
"5","X2014_F05200_nm1_",2.21077691259432
"6","X2014_NITA_nm1_",2.12077648590347
"7","X2014_NET_nm1_",2.09767982504688
"8","X2014_EBITDAIE_nm1_",2.0848238835862
"9","X2014_ROE_nm1_",2.05775211653384
"10","X2014_EBITTA_nm1_",2.0226969766073
"11","X2014_WCTA_nm1_",1.9476982002819
"12","X2014_ROI_nm1_",1.92535053192004
"13","X2014_V16140_nm1_",1.84421356914368
"14","X2014_AL_nm1_",1.82531435617971
"15","X2014_EBITS_nm1_",1.7843151153173
"16","X2014_F12000_nm1_",1.7505626686469
"17","X2014_STA_nm1_",1.72724692000031
"18","X2014_COGSSALES_nm1_",1.65124438750678
"19","X2014_GL_nm1_",1.631403836226
"20","X2014_ARL_nm1_",1.45268087517732
"21","X2014_F16200_nm1_",1.38775084503179
"22","X2014_DEB_nm1_",1.27222508161152
"23","X2014_TC_nm1_",1.25455307403969
"24","X2014_CFS_nm1_",1.21018742077357
"25","X2014_CARCL_nm1_",1.19701730845841
"26","X2014_EBITDA_nm1_",1.18164644343538
"27","X2014_TATL_nm1_",1.1730087752284
"28","X2014_EBITIE_nm1_",1.16321040743363
"29","X2014_ROS_nm1_",1.10961059304334
"30","X2014_EC_nm1_",1.10540417808897
"31","X2014_ROL_nm1_",1.06290197180092
"32","X2014_F01000_nm1_",1.05642755841166
"33","X2014_ER_nm1_",1.05362608248786
