"","predictors","vif_value"
"1","X2014_DEB_nm7_",4.66536297472883
"2","X2014_EBITIE_nm7_",4.10925860265811
"3","X2014_ROI_nm7_",3.7259360004199
"4","X2014_AL_nm7_",3.23915592575918
"5","X2014_F05200_nm7_",2.21077691259422
"6","X2014_IOL_nm7_",2.2070067021685
"7","X2014_WCTA_nm7_",2.01099103164337
"8","X2014_V16140_nm7_",1.84421356914368
"9","X2014_CNS_nm7_",1.8320780370311
"10","X2014_F12000_nm7_",1.75056266864685
"11","X2014_EBITTA_nm7_",1.52188392194641
"12","X2014_F16200_nm7_",1.38775084503151
"13","X2014_EBITS_nm7_",1.32027046542456
"14","X2014_ARL_nm7_",1.31971498977993
"15","X2014_NET_nm7_",1.23194245946118
"16","X2014_TOD_nm7_",1.20122403370812
"17","X2014_F01000_nm7_",1.0564275584116
"18","X2014_LEV_nm7_",0.900275223036446
"19","X2014_NITA_nm7_",0.828336759607873
"20","X2014_CARCL_nm7_",0.705372698501265
"21","X2014_APS_nm7_",0.668496367295789
"22","X2014_ROS_nm7_",0.634457795043188
"23","X2014_ROE_nm7_",0.557306927664048
"24","X2014_STA_nm7_",0.45470378950017
"25","X2014_TC_nm7_",0.368705148491063
"26","X2014_ER_nm7_",0.220152222227747
"27","X2014_ROL_nm7_",0.147046049331151
"28","X2014_TATL_nm7_",0.14293480956962
"29","X2014_EC_nm7_",0.120288058082082
"30","X2014_GL_nm7_",0.0190305623639624
"31","X2014_CFS_nm7_",0.00196125593306373
