"","predictors","vif_value"
"1","X2014_TOD_nm6_",4.76046673029554
"2","X2014_LEV_nm6_",3.91079174527989
"3","X2014_IOL_nm6_",2.89408943036921
"4","X2014_APS_nm6_",2.67782109490839
"5","X2014_F05200_nm6_",2.21077691259425
"6","X2014_NITA_nm6_",2.12077648590346
"7","X2014_NET_nm6_",2.09767982504692
"8","X2014_EBITDAIE_nm6_",2.08482388358621
"9","X2014_ROE_nm6_",2.05775211653386
"10","X2014_EBITTA_nm6_",2.02269697660731
"11","X2014_WCTA_nm6_",1.9476982002819
"12","X2014_ROI_nm6_",1.92535053192005
"13","X2014_V16140_nm6_",1.84421356914367
"14","X2014_AL_nm6_",1.82531435617972
"15","X2014_EBITS_nm6_",1.7843151153173
"16","X2014_F12000_nm6_",1.75056266864684
"17","X2014_STA_nm6_",1.72724692000029
"18","X2014_COGSSALES_nm6_",1.6512443875068
"19","X2014_GL_nm6_",1.63140383622601
"20","X2014_ARL_nm6_",1.45268087517728
"21","X2014_F16200_nm6_",1.38775084503155
"22","X2014_DEB_nm6_",1.27222508161151
"23","X2014_TC_nm6_",1.25455307403968
"24","X2014_CFS_nm6_",1.21018742077358
"25","X2014_CARCL_nm6_",1.19701730845841
"26","X2014_EBITDA_nm6_",1.18164644343538
"27","X2014_TATL_nm6_",1.17300877522841
"28","X2014_EBITIE_nm6_",1.16321040743363
"29","X2014_ROS_nm6_",1.10961059304334
"30","X2014_EC_nm6_",1.105404178089
"31","X2014_ROL_nm6_",1.06290197180093
"32","X2014_F01000_nm6_",1.05642755841159
"33","X2014_ER_nm6_",1.05362608248786
