"","vif_value"
"X2014_F10100_nm6_",35.4086263737104
"X2014_F10200_nm6_",4089.15201406729
"X2014_F10300_nm6_",238.632930871203
"X2014_F10400_nm6_",95.6579571100352
"X2014_F10500_nm6_",464426.560741036
"X2014_F11100_nm6_",35.2847640282059
"X2014_F11200_nm6_",145.883257768585
"X2014_F12000_nm6_",1.75056266864684
"X2014_F15100_nm6_",531114.015724684
"X2014_F15200_nm6_",61.7655633687577
"X2014_F15300_nm6_",5.58112848828371
"X2014_F15400_nm6_",152.007160037927
"X2014_F16100_nm6_",43.6893161687495
"X2014_F16200_nm6_",1.38775084503155
"X2014_F16300_nm6_",166.978308550357
"X2014_F17000_nm6_",8.32045990700799
"X2014_F01000_nm6_",1.05642755841159
"X2014_F02100_nm6_",16.9103257480816
"X2014_F02200_nm6_",654.771586374688
"X2014_F02300_nm6_",4891.32036480406
"X2014_F02400_nm6_",13.4108004428638
"X2014_F03100_nm6_",494.524701805671
"X2014_F03200_nm6_",1260.84634589776
"X2014_F03300_nm6_",17.3154652857299
"X2014_F03400_nm6_",93.8185324622764
"X2014_F04000_nm6_",5.74649603146003
"X2014_F05100_nm6_",4983.29276678339
"X2014_F05200_nm6_",2.21077691259425
"X2014_F05300_nm6_",51.7304167951446
"X2014_F05400_nm6_",2882.31383938611
"X2014_F05510_nm6_",5642.18914748408
"X2014_F05520_nm6_",1729.08359436282
"X2014_F05600_nm6_",1059.27835457403
"X2014_F06000_nm6_",26.7459611974783
"X2014_F07001_nm6_",49435.8594061212
"X2014_F07002_nm6_",96653.7392383886
"X2014_F08000_nm6_",822.344286723609
"X2014_V16140_nm6_",1.84421356914367
"X2014_TA_nm6_",66010.1959015626
"X2014_TL_nm6_",129275.895754099
"X2014_TR_nm6_",12.5474702771584
"X2014_TC_nm6_",1.25455307403968
"X2014_WCTA_nm6_",1.9476982002819
"X2014_RETA_nm6_",7.8288103315382
"X2014_EBIT_nm6_",465.87295622387
"X2014_LEV_nm6_",3.91079174527989
"X2014_STA_nm6_",1.72724692000029
"X2014_EBITTA_nm6_",2.02269697660731
"X2014_COGSSALES_nm6_",1.6512443875068
"X2014_ROI_nm6_",1.92535053192005
"X2014_EBITDA_nm6_",1.18164644343538
"X2014_NET_nm6_",2.09767982504692
"X2014_ROS_nm6_",1.10961059304334
"X2014_ROE_nm6_",2.05775211653386
"X2014_ROL_nm6_",1.06290197180093
"X2014_CAPAS_nm6_",20.216314392332
"X2014_EC_nm6_",1.105404178089
"X2014_ER_nm6_",1.05362608248786
"X2014_GL_nm6_",1.63140383622601
"X2014_AL_nm6_",1.82531435617972
"X2014_DEB_nm6_",1.27222508161151
"X2014_TOD_nm6_",4.76046673029554
"X2014_NT_nm6_",478.49868888946
"X2014_STDE_nm6_",19.0290503889799
"X2014_CTA_nm6_",5.16140667865143
"X2014_CNS_nm6_",5.47139092455285
"X2014_ITA_nm6_",22.043936289295
"X2014_EBITS_nm6_",1.7843151153173
"X2014_EBITDATA_nm6_",6.7056140744438
"X2014_NITA_nm6_",2.12077648590346
"X2014_EBITDAIE_nm6_",2.08482388358621
"X2014_EBITIE_nm6_",1.16321040743363
"X2014_APS_nm6_",2.67782109490839
"X2014_ARL_nm6_",1.45268087517728
"X2014_IOL_nm6_",2.89408943036921
"X2014_TATL_nm6_",1.17300877522841
"X2014_CFS_nm6_",1.21018742077358
"X2014_CARCL_nm6_",1.19701730845841
"X2014_CFD_nm6_",35.4086263737106
"X2014_WCEBITDA_nm6_",4089.1520140673
"X2014_DTA_nm6_",238.632930871205
"X2014_lg_nm6_",95.657957110034
"X2014_LD.LDE_nm6_",464426.560741041
"X2014_DTA.TAY_nm6_",35.284764028206
