"","predictors","vif_value"
"1","X2014_DTA_nm99_",4.67636156350386
"2","X2014_F03100_nm99_",3.99959463424307
"3","X2014_F15400_nm99_",3.90386220955114
"4","X2014_APS_nm99_",3.85981315282194
"5","X2014_COGSSALES_nm99_",3.82076649937945
"6","X2014_F05510_nm99_",3.68806745557471
"7","X2014_F05100_nm99_",3.68190177465393
"8","X2014_EBITS_nm99_",3.58536691782524
"9","X2014_DTA.TAY_nm99_",3.14614338650839
"10","X2014_F03400_nm99_",1.92997369166127
"11","X2014_V16140_nm99_",1.821020420742
"12","X2014_NET_nm99_",1.72225917953919
"13","X2014_CNS_nm99_",1.69247816262883
"14","X2014_ROI_nm99_",1.68093768687956
"15","X2014_CARCL_nm99_",1.61624628324113
"16","X2014_LEV_nm99_",1.45458263985568
"17","X2014_NITA_nm99_",1.29843122038605
"18","X2014_RETA_nm99_",1.24647369243687
"19","X2014_ARL_nm99_",0.870695479896637
"20","X2014_GL_nm99_",0.598819383812283
"21","X2014_LD.LDE_nm99_",0.554907774041456
"22","X2014_DEB_nm99_",0.411047533901835
"23","X2014_TATL_nm99_",0.297354380900106
"24","X2014_EBITDAIE_nm99_",0.230245642146252
"25","X2014_CFD_nm99_",0.19951520779426
"26","X2014_EBITIE_nm99_",0.110470360658825
"27","X2014_AL_nm99_",0.0568039948560246
"28","X2014_EBITDA_nm99_",0.0111361333346849
"29","X2014_ROE_nm99_",0.00294740122987042
"30","X2014_ER_nm99_",0.00153626851683089
"31","X2014_EC_nm99_",6.44036839823898e-05
