"","predictors","vif_value"
"1","X2014_RETA_nm11_",4.63146711714385
"2","X2014_CTA_nm11_",3.9149213963313
"3","X2014_NET_nm11_",3.04766080554858
"4","X2014_IOL_nm11_",2.91756781845531
"5","X2014_APS_nm11_",2.75253494118937
"6","X2014_GL_nm11_",2.65713395999653
"7","X2014_CFS_nm11_",2.59572985813161
"8","X2014_F05200_nm11_",2.21077691259428
"9","X2014_NITA_nm11_",2.17640346388698
"10","X2014_TC_nm11_",2.07988877847739
"11","X2014_ROE_nm11_",2.03076107566651
"12","X2014_EBITTA_nm11_",1.96383839246544
"13","X2014_WCTA_nm11_",1.94833243818062
"14","X2014_AL_nm11_",1.92154947868698
"15","X2014_ROI_nm11_",1.88840940700699
"16","X2014_V16140_nm11_",1.84421356914352
"17","X2014_STA_nm11_",1.78741162963725
"18","X2014_F12000_nm11_",1.75056266864673
"19","X2014_EBITDAIE_nm11_",1.63818985535904
"20","X2014_EBITS_nm11_",1.56463632365845
"21","X2014_F16200_nm11_",1.38775084503147
"22","X2014_ARL_nm11_",1.37571280388062
"23","X2014_COGSSALES_nm11_",1.28874222041371
"24","X2014_DEB_nm11_",1.27059743906475
"25","X2014_TATL_nm11_",1.22042623498781
"26","X2014_CARCL_nm11_",1.20713157449449
"27","X2014_ROS_nm11_",1.14428822636433
"28","X2014_F01000_nm11_",1.0564275584116
"29","X2014_ROL_nm11_",1.05580103963588
"30","X2014_EBITDA_nm11_",1.02750823275817
"31","X2014_EBITIE_nm11_",0.991649812033317
"32","X2014_ER_nm11_",0.719078860373545
"33","X2014_EC_nm11_",0.0696039206753159
