"","X2014_F04000_nm8_","X2014_EBITDA_nm8_","X2014_EBITIE_nm8_","X2014_AL_nm8_","X2014_ROI_nm8_","X2014_IOL_nm8_","X2014_F05300_nm8_","X2014_V16140_nm8_","X2014_CNS_nm8_","X2014_F12000_nm8_","X2014_F16200_nm8_","X2014_EBITS_nm8_","X2014_TOD_nm8_","X2014_F05200_nm8_","X2014_DEB_nm8_","X2014_F01000_nm8_","X2014_LEV_nm8_","X2014_COGSSALES_nm8_","X2014_CARCL_nm8_","X2014_APS_nm8_","X2014_STA_nm8_","X2014_TC_nm8_","X2014_ROL_nm8_","X2014_ER_nm8_","X2014_ARL_nm8_","X2014_TATL_nm8_","X2014_EC_nm8_","X2014_STDE_nm8_","X2014_EBITTA_nm8_","X2014_GL_nm8_","X2014_CFS_nm8_","X2014_TR_nm8_","not_survive"
"2578",0.00275284260921604,0.00925173269444682,0.00113030709175667,0.000169055349509399,0.112011125042112,0,0,0.0735930735930736,0.0124592317980244,0,0,0.0237336336221704,0,0,0.0006225625219576,0,0.000117577186234911,0.0663870001871374,0.00347440247217732,0.00154501974809728,8.67473172671091e-05,0.000732318925254842,0.00201636040308239,0.00725273145485912,0.00710672856839983,0.00123122352289473,0.197349708338487,0.000713958631874127,0.000364085131799696,0,0.00366274291845431,0.00147085548135023,0
"2579",0.000478755236385398,0.00358304098571062,0.00994288472367468,0.000995201706060068,0.00867926547257412,0,0,0.121212121212121,0.00175856486219923,0,0,0.00701613635675576,0.000503599909241336,0,0.000685815169416718,0,0.000106733057026633,0.0159179735813586,0.000539752544218189,7.33618313437438e-05,0.000745324562390167,0.000675707551449215,0.00240792079207921,0.0137695704536331,0.0013008600130086,0.003017945508059,0.103948372397932,0.000397142134054938,0.000924753773085175,0.00730747611017425,6.43524155138825e-05,0.000714841442914906,0
"2580",0,0.0157760759818602,0.0059858624736752,5.37092984222893e-06,-0.000560690847931612,0,0,0.324675324675325,2.76149857322574e-05,0,0,0.0217291469076024,0.000147283863345909,0,0.00159231343790317,0,4.59703145402553e-05,0.0718737254262174,0.00113255054765223,0.000107787160393454,0.00147709991242131,0.00110101864183508,-0.000109168443496802,0.0149725758921647,0.0034706550666895,0.000994465588280437,0.0955964055605715,0.00175209765024237,0.00567590615000664,0.000734495034663669,0.000121886046651729,0.00107119735586752,0
"2581",0.000598444045481747,0.0250598956105074,0.006744429249457,0.000358467823990734,0.00433862426985829,0,0,0.683982683982684,0.000425746574816128,0,0,0.00211318441566821,2.09445143389917e-05,0,0.000763903035241393,0,9.5822566752799e-05,0.00421606553271693,0.00063286700441838,3.99117322496251e-05,0.00249073830301914,0.0156160297282291,0.00227038383838384,0.0143096840149052,0.00156012681560127,0.00165996264470454,0.100024880757879,0.000546512883227117,0.000930782385653874,0.000452166467160046,2.77680917412536e-05,0.0158968811049021,0
"2582",0.00245362058647516,0.0070270385898862,0.0062171759541239,3.18434575626221e-05,-0.00458432181262828,0,0,0.0822510822510823,0.000377716410518983,0,0,0.0110813726427333,0.000467661397877359,0,0.00422013987913356,0,1.73451951081092e-05,0.0338406266038873,3.36489857447941e-05,0.000286998517829572,0.000489225053192594,0.000875298933456233,-0.000267739340305712,0.0155647332128766,2.93615047183938e-05,0.000828269418092494,0.0919594584563578,0.0029552047034088,0.000958704809295715,0.00101091566741541,1.11639597608362e-05,0.000819192676389078,0
"2583",0.000179533213644524,0.0075083426028921,0.000509226021980957,3.76349802087048e-06,-0.0244598660203332,0,0.0332927844292208,0.0692640692640693,8.29004089753512e-05,0.09849157054126,0,0.00603308757417729,0.000704277549936546,0,0.0121884973178516,0,6.00559262378267e-06,0.0153394064061122,0.000576713527721528,0.000516286549923861,0.000377091175012467,0.00242920856573633,-0.00137270194986072,0.0193437858634896,0.00210438566171238,0.00084759778258045,0.0739940178915735,0.0125021901220628,0.000402317251435691,0.000819799981408764,0.000339766970263391,0.00182934101131253,0
"2584",0,0.00909129802344485,0.0104701026589853,6.42258044070733e-05,-0.00615380701094112,0,0,0.0779220779220779,0.000438581867332835,0,0,0.00529502334567031,0.00022706994036823,0,0.00485502817953419,0,1.50769772862796e-05,0.0155873909871333,0.000583155691673644,0.000143157071939332,0.00211370641403827,0.00275871579275882,-0.000984615384615386,0.0158086116441978,0.00140881016793426,0.000545342719559806,0.0905408058271297,0.00556777697743688,0.00197922515440763,0.00085260439391974,7.14098092971481e-05,0.00254205283721775,1
"2585",0.000299222022740874,0.00442799691965432,0.00106622454252559,4.17429780484114e-06,0.00225415552026218,0,0,0.103896103896104,1.21890769618319e-05,0,0,0.00258450881112595,0.00050250191938675,0,0.00557479459496163,0,1.3130376077576e-05,0.00651342651601893,0.002406669913761,0.000173495851233447,0.00115445905464017,0.00246477212107576,0.000280633373934227,0.0145844069793124,0.000742373996461496,0.000823369530833561,0.0981407361508845,0.00225436564331185,0.000527641818920346,0.00441244571818015,4.03497873658847e-05,0.00246183726318659,0
"2586",0.00149611011370437,0.0401514503294259,0.0994556619204677,0.000478241306164428,0.00404933503859598,0,0,0.415584415584416,0.000910901433282185,0,0,0.0197004302331757,0,0,0.00161947443471175,0,4.51993239399994e-05,0.0145820675288603,0.000856047559474478,3.99296946094426e-05,0.00300852408018391,0.00297282291163908,0.00209308176100629,0.0143471908088309,0.00769713385055628,0.00135349604217791,0.0997633931510005,0.00182996865691981,0.0104812205577739,0,0.000115025954592044,0.00301837717504884,0
"2587",0,0.00196799863095747,0.0291207465207948,0.000146479904788062,0.000240545253481974,0,0,0.0779220779220779,0.000248514092820014,0,0,0.00152454432128297,0.00011749790091751,0,0.000896312894683235,0,8.16669603006809e-05,0.00181688047128778,0.000142008473172233,3.55667891180406e-05,0.00548147928174061,0.00192478670939132,0.000145454545454545,0.014859997118294,5.5297500552975e-05,0.000846417345983449,0.0963206402988947,0.00102789728814219,0.00147781642417414,0.00177576779600388,5.50889752532455e-06,0.0018868406705738,0
