predictors,vif_value
X2014_EBITTA_nm4_,1.521883922
X2014_EBITTA_nm5_,1.05932957
X2014_EBITTA_nm6_,2.022696977
X2014_EBITTA_nm7_,1.521883922
X2014_EBITTA_nm8_,0.042232467
X2014_EBITTA_nm9_,0.031113471
X2014_EC_nm1_,1.105404178
X2014_EC_nm10_,0.002627986
X2014_EC_nm11_,0.069603921
X2014_EC_nm12_,1.105404178
X2014_EC_nm2_,0.095904619
X2014_EC_nm3_,0.120288058
X2014_EC_nm33_,0.120288058
X2014_EC_nm4_,0.120288058
X2014_EC_nm5_,0.14480692
X2014_EC_nm6_,1.105404178
X2014_EC_nm7_,0.120288058
X2014_EC_nm8_,0.120272136
X2014_EC_nm9_,0.002627986
X2014_EC_nm99_,6.44E-05
X2014_ER_nm1_,1.053626082
X2014_ER_nm10_,0.037033935
X2014_ER_nm11_,0.71907886
X2014_ER_nm12_,1.053626082
X2014_ER_nm2_,2.112668236
X2014_ER_nm3_,0.220152222
X2014_ER_nm33_,0.220152222
X2014_ER_nm4_,0.220152222
X2014_ER_nm5_,0.223541746
X2014_ER_nm6_,1.053626082
X2014_ER_nm7_,0.220152222
X2014_ER_nm8_,0.219521851
X2014_ER_nm9_,0.037033935
X2014_ER_nm99_,0.001536269
X2014_F01000_nm1_,1.056427558
X2014_F01000_nm10_,1.056427558
X2014_F01000_nm11_,1.056427558
X2014_F01000_nm12_,1.056427558
X2014_F01000_nm3_,1.056427558
X2014_F01000_nm33_,1.056427558
X2014_F01000_nm4_,1.056427558
X2014_F01000_nm5_,1.056427558
X2014_F01000_nm6_,1.056427558
X2014_F01000_nm7_,1.056427558
X2014_F01000_nm8_,1.05638942
X2014_F01000_nm9_,1.056427558
X2014_F03100_nm2_,3.995873391
X2014_F03100_nm99_,3.999594634
X2014_F03400_nm2_,1.92786715
X2014_F03400_nm99_,1.929973692
X2014_F04000_nm8_,4.765388745
X2014_F05100_nm99_,3.681901775
X2014_F05200_nm1_,2.210776913
X2014_F05200_nm10_,2.210776913
X2014_F05200_nm11_,2.210776913
X2014_F05200_nm12_,2.210776913
X2014_F05200_nm3_,2.210776913
X2014_F05200_nm33_,2.210776913
X2014_F05200_nm4_,2.210776913
X2014_F05200_nm5_,2.210776913
X2014_F05200_nm6_,2.210776913
X2014_F05200_nm7_,2.210776913
X2014_F05200_nm8_,1.185603941
X2014_F05200_nm9_,2.210776913
X2014_F05300_nm8_,2.123270533
X2014_F05510_nm2_,2.968750705
X2014_F05510_nm99_,3.688067456
X2014_F12000_nm1_,1.750562669
X2014_F12000_nm10_,1.750562669
X2014_F12000_nm11_,1.750562669
X2014_F12000_nm12_,1.750562669
X2014_F12000_nm3_,1.750562669
X2014_F12000_nm33_,1.750562669
X2014_F12000_nm4_,1.750562669
X2014_F12000_nm5_,1.750562669
X2014_F12000_nm6_,1.750562669
X2014_F12000_nm7_,1.750562669
X2014_F12000_nm8_,1.743953656
X2014_F12000_nm9_,1.750562669
X2014_F15400_nm2_,3.887197471
X2014_F15400_nm99_,3.90386221
X2014_F16200_nm1_,1.387750845
X2014_F16200_nm10_,1.387750845
X2014_F16200_nm11_,1.387750845
X2014_F16200_nm12_,1.387750845
X2014_F16200_nm3_,1.387750845
X2014_F16200_nm33_,1.387750845
X2014_F16200_nm4_,1.387750845
X2014_F16200_nm5_,1.387750845
X2014_F16200_nm6_,1.387750845
X2014_F16200_nm7_,1.387750845
X2014_F16200_nm8_,1.385183666
X2014_F16200_nm9_,1.387750845
X2014_GL_nm1_,1.631403836
X2014_GL_nm11_,2.65713396
X2014_GL_nm12_,1.631403836
X2014_GL_nm2_,0.621914051
X2014_GL_nm3_,0.019030562
X2014_GL_nm33_,0.019030562
X2014_GL_nm4_,0.019030562
X2014_GL_nm5_,0.012325421
X2014_GL_nm6_,1.631403836
X2014_GL_nm7_,0.019030562
X2014_GL_nm8_,0.019029775
X2014_GL_nm99_,0.598819384
X2014_IOL_nm1_,2.89408943
X2014_IOL_nm11_,2.917567818
X2014_IOL_nm12_,2.89408943
X2014_IOL_nm3_,2.207006702
X2014_IOL_nm33_,2.207006702
X2014_IOL_nm4_,2.207006702
X2014_IOL_nm5_,2.201891853
X2014_IOL_nm6_,2.89408943
X2014_IOL_nm7_,2.207006702
X2014_IOL_nm8_,2.205204239
X2014_ITA_nm10_,0.996603747
X2014_ITA_nm9_,0.996603747
X2014_LD.LDE_nm2_,0.271282573
X2014_LD.LDE_nm99_,0.554907774
X2014_LEV_nm1_,3.910791745
X2014_LEV_nm12_,3.910791745
X2014_LEV_nm2_,1.443196696
X2014_LEV_nm3_,0.900275223
X2014_LEV_nm33_,0.900275223
X2014_LEV_nm4_,0.900275223
X2014_LEV_nm5_,0.860434979
X2014_LEV_nm6_,3.910791745
X2014_LEV_nm7_,0.900275223
X2014_LEV_nm8_,0.898982924
X2014_LEV_nm99_,1.45458264
X2014_NET_nm1_,2.097679825
X2014_NET_nm11_,3.047660806
X2014_NET_nm12_,2.097679825
X2014_NET_nm2_,1.824568016
X2014_NET_nm3_,1.231942459
X2014_NET_nm33_,1.231942459
X2014_NET_nm4_,1.231942459
X2014_NET_nm5_,4.130078144
X2014_NET_nm6_,2.097679825
X2014_NET_nm7_,1.231942459
X2014_NET_nm99_,1.72225918
X2014_NITA_nm1_,2.120776486
X2014_NITA_nm11_,2.176403464
X2014_NITA_nm12_,2.120776486
X2014_NITA_nm2_,0.65183113
X2014_NITA_nm3_,0.82833676
X2014_NITA_nm33_,0.82833676
X2014_NITA_nm4_,0.82833676
X2014_NITA_nm5_,0.860362162
X2014_NITA_nm6_,2.120776486
X2014_NITA_nm7_,0.82833676
X2014_NITA_nm99_,1.29843122
X2014_RETA_nm10_,0.24122879
X2014_RETA_nm11_,4.631467117
X2014_RETA_nm2_,1.246461967
X2014_RETA_nm9_,0.24122879
X2014_RETA_nm99_,1.246473692
X2014_ROE_nm1_,2.057752117
X2014_ROE_nm10_,1.426421893
X2014_ROE_nm11_,2.030761076
X2014_ROE_nm12_,2.057752117
X2014_ROE_nm2_,0.002508871
X2014_ROE_nm3_,0.557306928
X2014_ROE_nm33_,0.557306928
X2014_ROE_nm4_,0.557306928
X2014_ROE_nm5_,1.179346369
X2014_ROE_nm6_,2.057752117
X2014_ROE_nm7_,0.557306928
X2014_ROE_nm9_,1.426421893
X2014_ROE_nm99_,0.002947401
X2014_ROI_nm1_,1.925350532
X2014_ROI_nm10_,1.252096764
X2014_ROI_nm11_,1.888409407
X2014_ROI_nm12_,1.925350532
X2014_ROI_nm2_,1.680346832
X2014_ROI_nm3_,3.725936
X2014_ROI_nm33_,3.725936
X2014_ROI_nm4_,3.725936
X2014_ROI_nm5_,2.934597365
X2014_ROI_nm6_,1.925350532
X2014_ROI_nm7_,3.725936
X2014_ROI_nm8_,2.919377487
X2014_ROI_nm9_,1.252096764
X2014_ROI_nm99_,1.680937687
X2014_ROL_nm1_,1.062901972
X2014_ROL_nm10_,0.867718831
X2014_ROL_nm11_,1.05580104
X2014_ROL_nm12_,1.062901972
X2014_ROL_nm2_,0.41017097
X2014_ROL_nm3_,0.147046049
X2014_ROL_nm33_,0.147046049
X2014_ROL_nm4_,0.147046049
X2014_ROL_nm5_,0.227638009
X2014_ROL_nm6_,1.062901972
X2014_ROL_nm7_,0.147046049
X2014_ROL_nm8_,0.229594747
X2014_ROL_nm9_,0.867718831
X2014_ROS_nm1_,1.109610593
X2014_ROS_nm11_,1.144288226
X2014_ROS_nm12_,1.109610593
X2014_ROS_nm3_,0.634457795
X2014_ROS_nm33_,0.634457795
X2014_ROS_nm4_,0.634457795
X2014_ROS_nm5_,0.908452112
X2014_ROS_nm6_,1.109610593
X2014_ROS_nm7_,0.634457795
X2014_STA_nm1_,1.72724692
X2014_STA_nm10_,4.468476351
X2014_STA_nm11_,1.78741163
X2014_STA_nm12_,1.72724692
X2014_STA_nm3_,0.45470379
X2014_STA_nm33_,0.45470379
X2014_STA_nm4_,0.45470379
X2014_STA_nm5_,0.367838761
X2014_STA_nm6_,1.72724692
X2014_STA_nm7_,0.45470379
X2014_STA_nm8_,0.371269291
X2014_STA_nm9_,4.468476351
X2014_STDE_nm10_,0.206225054
X2014_STDE_nm8_,0.069565961
X2014_STDE_nm9_,0.206225054
X2014_TATL_nm1_,1.173008775
X2014_TATL_nm10_,3.015095544
X2014_TATL_nm11_,1.220426235
X2014_TATL_nm12_,1.173008775
X2014_TATL_nm2_,1.371335
X2014_TATL_nm3_,0.14293481
X2014_TATL_nm33_,0.14293481
X2014_TATL_nm4_,0.14293481
X2014_TATL_nm5_,0.138073672
X2014_TATL_nm6_,1.173008775
X2014_TATL_nm7_,0.14293481
X2014_TATL_nm8_,0.142834784
X2014_TATL_nm9_,3.015095544
X2014_TATL_nm99_,0.297354381
X2014_TC_nm1_,1.254553074
X2014_TC_nm11_,2.079888778
X2014_TC_nm12_,1.254553074
X2014_TC_nm3_,0.368705148
X2014_TC_nm33_,0.368705148
X2014_TC_nm4_,0.368705148
X2014_TC_nm5_,0.348505572
X2014_TC_nm6_,1.254553074
X2014_TC_nm7_,0.368705148
X2014_TC_nm8_,0.368546536
X2014_TOD_nm1_,4.76046673
X2014_TOD_nm12_,4.76046673
X2014_TOD_nm3_,1.201224034
X2014_TOD_nm33_,1.201224034
X2014_TOD_nm4_,1.201224034
X2014_TOD_nm5_,1.17434323
X2014_TOD_nm6_,4.76046673
X2014_TOD_nm7_,1.201224034
X2014_TOD_nm8_,1.199351324
X2014_TR_nm10_,1.746977447
X2014_TR_nm8_,0.000880561
X2014_TR_nm9_,1.746977447
X2014_V16140_nm1_,1.844213569
X2014_V16140_nm10_,1.844213569
X2014_V16140_nm11_,1.844213569
X2014_V16140_nm12_,1.844213569
X2014_V16140_nm2_,1.81217944
X2014_V16140_nm3_,1.844213569
X2014_V16140_nm33_,1.844213569
X2014_V16140_nm4_,1.844213569
X2014_V16140_nm5_,1.844213569
X2014_V16140_nm6_,1.844213569
X2014_V16140_nm7_,1.844213569
X2014_V16140_nm8_,1.844069297
X2014_V16140_nm9_,1.844213569
X2014_V16140_nm99_,1.821020421
X2014_WCTA_nm1_,1.9476982
X2014_WCTA_nm10_,2.052818387
X2014_WCTA_nm11_,1.948332438
X2014_WCTA_nm12_,1.9476982
X2014_WCTA_nm3_,2.010991032
X2014_WCTA_nm33_,2.010991032
X2014_WCTA_nm4_,2.010991032
X2014_WCTA_nm5_,2.045027669
X2014_WCTA_nm6_,1.9476982
X2014_WCTA_nm7_,2.010991032
X2014_WCTA_nm9_,2.052818387
