"","X2014_TOD_nm6_","X2014_LEV_nm6_","X2014_IOL_nm6_","X2014_APS_nm6_","X2014_F05200_nm6_","X2014_NITA_nm6_","X2014_NET_nm6_","X2014_EBITDAIE_nm6_","X2014_ROE_nm6_","X2014_EBITTA_nm6_","X2014_WCTA_nm6_","X2014_ROI_nm6_","X2014_V16140_nm6_","X2014_AL_nm6_","X2014_EBITS_nm6_","X2014_F12000_nm6_","X2014_STA_nm6_","X2014_COGSSALES_nm6_","X2014_GL_nm6_","X2014_ARL_nm6_","X2014_F16200_nm6_","X2014_DEB_nm6_","X2014_TC_nm6_","X2014_CFS_nm6_","X2014_CARCL_nm6_","X2014_EBITDA_nm6_","X2014_TATL_nm6_","X2014_EBITIE_nm6_","X2014_ROS_nm6_","X2014_EC_nm6_","X2014_ROL_nm6_","X2014_F01000_nm6_","X2014_ER_nm6_","not_survive"
"1131",0,0.0115044776910857,0,0.00784892056186788,0,0.263578263443413,0.0333070500128772,0.13396683301754,0.0486671727022875,0.682922514378339,-0.34007798472441,0.494851853089916,0.884766779783333,0.0257423799624387,0.70959435648211,0,0.266665740346257,0.554361643580365,0,0.0455635379461145,0,0.00641013007746905,0.00991753709597667,0.00504031223766171,0.0425813753074111,0.0829224128313315,0.014581733869745,0.133048630022731,0.0547063305158822,4.18617918965252,0.106584615263853,0,0.603893503677648,0
"1132",0.00545025122436494,0.000527728334453471,0,0.00593149202140883,0,0.0276140869921315,0.467198890721169,0.0506551515469969,0.682655746823979,0.0256214925610983,-0.0752669845775017,0.23151648189438,0.55707537986358,0.000522698747786962,0.126996062824773,0,0.0559010691884897,0.105745436128624,0.0179924946359074,0.718752038446608,0,0.139740835688825,0.297346447352199,0.0309527541170499,0.410495316601955,0.43000296653823,0.0895565204538365,0.0487320573365915,0.0273404583159672,3.922843818457,0.0685809760996028,0,0.644432084185315,0
"1133",0.0410973606160556,0.000900268023602256,0,0.00886591219530517,0,0.0306868664300024,0.17643734601416,0.0539165757883091,0.257804482422928,0.0205146226051111,0.161230064971384,0.206008017644155,0.753690219815432,0.00185560769372719,0.0857298495472569,0,0.0663036468466169,0.119111944568563,0.171297094012628,0.0412015151846616,0,0.0819147148847097,0.126197066235761,0.00278455544053253,0.0476411992251126,0.1334925206565,0.0519189000428113,0.0454625627683848,0.0256159426981869,3.89733535420678,0.0441828562316429,0,0.648649959037526,0
"1134",0.00552604962848935,0.00139403747532288,0,0.0225521025059175,0,0.0909646397746497,0.298863259575006,0.0360802740609036,0.436689225328634,0.0880274342857734,-0.0232235358485272,1.1453464259241,0.655382799839506,0.226177876359634,0.827970302251259,0,0.0294584050837165,2.06074347466097,0.0258911675941394,0.0496898277346019,0,0.0529004419024814,0.0384484227996197,0.0307100225603914,0.0987335902307268,0.28394644393759,0.0459399013498343,0.0350702128332009,0.170906503980051,4.83667376248673,0.115887988328114,0,0.522674578026941,1
"1135",0,0.218585076130628,0,0.000803109557327443,0,0.0137386353532281,0.000900190540888572,0.621626403206389,0.00131532899195372,0.849227142121326,-0.066924967839352,0.0210932990660723,0.524306239871605,0.140152957573277,0.889498707587144,0,0.264535822292373,0.497415750904885,0,0.577138147317452,0,0.000337375267235213,0.00628829344853593,0.00598819704426127,0.0794354311290303,0.0549675085056174,0.143657081827858,0.600516789562057,0.00287444711288756,3.7124206356287,0.0547326402706272,0,0.680959046935588,0
"1136",0,0,0,0.0355246865327949,0,-0.0465793215855609,-0.859681966548586,5.00142843265483,-0.628595725254681,0.050747474166984,-0.505313630635289,-0.405383809385613,2.88368431929383,0.000362441821822938,0.311399925578185,0,0.0451545868074655,0.120351778958768,0,0.171098204869128,0,1.98950195088605,0.312474284734105,0.0443605209466233,0.169993698305171,0.884505736867536,0.0185008785592851,5.05404998640402,-0.0570934783415615,3.285943527177,-0.023897984390293,0,0.769339581448488,1
"1137",0.0160824184250542,0.00234533343487798,0,0.00838026392879676,0,0.0507200305163694,0.06931467164842,0.0620260191331211,0.101280332380436,0.0504687937385696,0.0770095520343228,0.205667297333806,0.589844519855555,0.00840917745439664,0.123442919839418,0,0.113282463506978,0.103956894069505,0.116510254173627,0,0,0.0314433749063219,0.0496595516907238,0.000548545803333834,0.00147534036310026,0.0713007110330009,0.0321488871043336,0.0572579343341067,0.0247806125580438,3.89699463389641,0.0452190268330289,0,0.648706671513706,0
"1138",0.0671736751928869,0,0,0.0125758155476849,0,0.00323262008311249,0.00180038108177714,0.493748971689646,0.0460365147183801,0.0813630794846779,0.136999345929967,0.0254574299073284,0.49153709987963,0.000493496329483371,0.399402503923553,0,0.0564446182750259,0.502810099801686,0.104385165124259,0.00846740239608937,0,0.0154517872393728,0.0104206005718595,0.000900466741089105,0.00428770793026014,0.0436599067558904,0.0429959575893238,0.489043613056526,0.00316976702174587,3.71678476646995,0.00385441128666388,0,0.680159486410811,1
"1139",0.0046341083449009,0.0165594754644415,0,0.000769507858986602,0,0.0447304406849287,0.0180038108177714,0.554135536572552,0.0263065798390743,0.256624829188592,0.117663431829186,0.0335880558376942,0.655382799839506,0.0074323538107041,0.119854647321249,0,0.593266384069245,0.191363778289963,0.117687125427906,0.00728709781966479,0,0.00445335352750481,0.0789809657136113,0.0001778198523882,0.0114338878140271,0.0979992151643008,0.0668534038809298,0.557365882527658,0.00417300257145984,3.72491539240029,0.0829282428342836,0,0.678674856083829,0
"1140",0.00867619435990809,0.00103106167986145,0,0.00432498192027458,0,0.0113419692350974,0.0324068594719886,0.0748041184362647,0.0473518437103338,0.040231743848382,-0.12615438655123,0.020993330824053,0.425998819895679,0.0055901464559142,0.04667900460952,0,0.238810389444014,0.104453645219997,0.0394637454782466,0.105264190391233,0,0.0715235566538652,0.2274565573099,0.00378902613974213,0.0302694228120136,0.112447817400063,0.0295494098571117,0.0729757986611164,0.00262863607862043,3.71232066738667,0.00929422193274801,0,0.680977384327454,0
