"","predictors","vif_value"
"1","X2014_STA_nm10_",4.46847635056278
"2","X2014_DTA.TAY_nm10_",3.31746690425595
"3","X2014_TATL_nm10_",3.0150955444143
"4","X2014_CFD_nm10_",2.55503008552919
"5","X2014_F05200_nm10_",2.21077691259429
"6","X2014_CTA_nm10_",2.08301087146462
"7","X2014_WCTA_nm10_",2.05281838663478
"8","X2014_V16140_nm10_",1.84421356914367
"9","X2014_F12000_nm10_",1.750562668647
"10","X2014_TR_nm10_",1.74697744684328
"11","X2014_ROE_nm10_",1.42642189255154
"12","X2014_F16200_nm10_",1.38775084503159
"13","X2014_CARCL_nm10_",1.35143234679434
"14","X2014_ROI_nm10_",1.25209676415258
"15","X2014_DEB_nm10_",1.21778872694196
"16","X2014_F01000_nm10_",1.05642755841158
"17","X2014_ITA_nm10_",0.996603746582345
"18","X2014_ROL_nm10_",0.867718831001654
"19","X2014_EBITS_nm10_",0.489032199774121
"20","X2014_EBITIE_nm10_",0.319450970260946
"21","X2014_RETA_nm10_",0.241228789768956
"22","X2014_COGSSALES_nm10_",0.217861598874576
"23","X2014_STDE_nm10_",0.206225053872348
"24","X2014_EBITDATA_nm10_",0.0593803542631076
"25","X2014_ER_nm10_",0.0370339353359084
"26","X2014_EBITTA_nm10_",0.0311134707346935
"27","X2014_EBITDA_nm10_",0.0129424971217689
"28","X2014_EBITDAIE_nm10_",0.0117221152782289
"29","X2014_EC_nm10_",0.00262798597906224
"30","X2014_ARL_nm10_",0.00069275579331158
