"","predictors","vif_value"
"1","X2014_F04000_nm8_",4.76538874480983
"2","X2014_EBITDA_nm8_",4.25985568953496
"3","X2014_EBITIE_nm8_",4.10917116575207
"4","X2014_AL_nm8_",3.23898001404454
"5","X2014_ROI_nm8_",2.91937748736027
"6","X2014_IOL_nm8_",2.20520423874011
"7","X2014_F05300_nm8_",2.12327053288831
"8","X2014_V16140_nm8_",1.84406929707624
"9","X2014_CNS_nm8_",1.83168462096567
"10","X2014_F12000_nm8_",1.74395365589179
"11","X2014_F16200_nm8_",1.38518366603186
"12","X2014_EBITS_nm8_",1.31993044656163
"13","X2014_TOD_nm8_",1.19935132409993
"14","X2014_F05200_nm8_",1.18560394105415
"15","X2014_DEB_nm8_",1.15101505226947
"16","X2014_F01000_nm8_",1.05638942007907
"17","X2014_LEV_nm8_",0.898982924441087
"18","X2014_COGSSALES_nm8_",0.890191688004359
"19","X2014_CARCL_nm8_",0.704735309769935
"20","X2014_APS_nm8_",0.668490669058576
"21","X2014_STA_nm8_",0.371269291138632
"22","X2014_TC_nm8_",0.368546536497388
"23","X2014_ROL_nm8_",0.229594746847173
"24","X2014_ER_nm8_",0.219521850978569
"25","X2014_ARL_nm8_",0.215727407845107
"26","X2014_TATL_nm8_",0.142834783964418
"27","X2014_EC_nm8_",0.120272135911201
"28","X2014_STDE_nm8_",0.0695659612675087
"29","X2014_EBITTA_nm8_",0.0422324673027272
"30","X2014_GL_nm8_",0.0190297745322531
"31","X2014_CFS_nm8_",0.0019610361924256
"32","X2014_TR_nm8_",0.000880561370808534
