"X2014_TOD_nm6_","X2014_LEV_nm6_","X2014_IOL_nm6_","X2014_APS_nm6_","X2014_F05200_nm6_","X2014_NITA_nm6_","X2014_NET_nm6_","X2014_EBITDAIE_nm6_","X2014_ROE_nm6_","X2014_EBITTA_nm6_","X2014_WCTA_nm6_","X2014_ROI_nm6_","X2014_V16140_nm6_","X2014_AL_nm6_","X2014_EBITS_nm6_","X2014_F12000_nm6_","X2014_STA_nm6_","X2014_COGSSALES_nm6_","X2014_GL_nm6_","X2014_ARL_nm6_","X2014_F16200_nm6_","X2014_DEB_nm6_","X2014_TC_nm6_","X2014_CFS_nm6_","X2014_CARCL_nm6_","X2014_EBITDA_nm6_","X2014_TATL_nm6_","X2014_EBITIE_nm6_","X2014_ROS_nm6_","X2014_EC_nm6_","X2014_ROL_nm6_","X2014_F01000_nm6_","X2014_ER_nm6_","not_survive"
0.000418844837367164,0,0,0.00379366177202106,0,0.0265297786131301,0.0108022864906629,1.20417914678266,0.0526131596781486,0.283952471362475,-0.249853213266914,0.0473753241056168,1.21245817970309,0.000583970656555322,0.363773364982292,0,0.216282161554384,0.499300822821518,0.00215759729951161,0.266525602754239,0,0.277120044507004,0.033597453567892,0.00717878212007627,0.036771383209911,0.110563217108442,0.0371969229732847,1.77997491516897,0.00678903645733342,3.73870266066822,0.0273663201353136,0,0.676172096929976,0
0.000780444366665922,0,0,0.208567552037937,0,-0.236675971249718,-0.639135284030886,1.91105717100021,-4.19853014231626,0.0531785985280055,-0.0136401667554727,-3.69132733656261,1.24522731969506,0.313675666949716,5.1252080241658,0,0,17.4121890924712,0,0.0118688996676515,0,1.36502033123367,0.0255125048483458,1.25520775770958,0.0136654514316541,0.168985826148698,0.0158817704273977,1.54983674431884,-3.39904425297161,0,-0.104238665751463,0,40.4684233607435,1
0,0.0191741294851428,0,0.00719037698301849,0,0.0287075962604766,0.00450095270444286,0.6713565154629,0.00657664495976858,0.401654306560556,-0.151030673691194,0.0922831834140649,0.655382799839506,0.0700764787866387,0.790610666661873,0,0.140765330486532,0.22137022930515,0,0.168753844244869,0,0.00384607804648143,0.00718662108404106,0.0143225457907864,0.176785496201495,0.0593649091860668,0.0301535854713863,0.679626785791789,0.0112874630530462,3.78361051997668,0.0240055439783452,0,0.668146577062933,0
0,0.00026015838625402,0,0.00868829147958328,0,0.00317768766725597,0.0315066689311,0.0609474308106113,0.0460365147183801,0.0108544915456017,-0.371595474014976,0.0103373705216587,0.753690219815432,0.0493421147943055,0.0221517623537255,0,0.135771040705332,0.0377875257345291,0,0.0638249855450051,0,0.283462699531026,0.449091951541726,0.0142746254884454,0.0308311421997058,0.10239661584475,0.0258728812742135,0.0611304516320657,0.00129538623489454,3.70166470708426,0.00227998382465121,0,0.68293770989674,1
0.00863735488150438,0.0742364409500245,0,0.00383917862894961,0,-0.0185388814405006,-0.00360076216355429,0.371199766486101,-0.00146147665772635,0.334519890049957,-0.0632158732362071,-0.0361894836917902,0.589844519855555,0.00140152957573277,0.468404567750187,0,0.197882218037459,0.560811876020213,0.0466041016694509,0.00907449917165805,0,0.000993382731303681,0.0146607070114438,0.000368258107000025,0.00447413001418449,0.0656469101581374,0.0401736448507825,0.350601119654494,-0.00518527714481678,3.65513785287082,-0.0206538265172178,0,0.691630936949798,0
0.00230803569812654,0.182154230108856,0,0.000929106386081807,0,0.28157120703317,0.0639135284030886,1.10471892226964,0.0466941792143569,0.386055230235289,-0.0115911284505269,0.996518026220325,0.425998819895679,0.16351178383549,0.675249090597771,0,0.158413204205563,1.30276262984001,0.0485459392390113,0.120237114024469,0,0.000404850320682256,0.009450406725514,0.00446099491294044,0.0265058308416081,0.0857493132687632,0.207362156805093,0.611304516320657,0.0983766615192145,4.68784536278293,1.61917394133939,0,0.539268303927365,0
0.0304602066973465,0,0,0.000451048739754832,0,0.0273146833058263,0.0324068594719886,0.575448441825342,0.00657664495976858,0.0432492108897844,0.25798453085844,0.133421469996239,0.458767959887654,0.13236668215254,0.127966340318872,0,0.0936458172046064,0.113814379179916,1.31973034820127,0.200395190040782,0,0.00236162687064649,0.0357893729985245,0.00208072967240034,0.168078150866198,0.0508842078737716,0.722560917527025,0.553769973608125,0.0161436971572639,3.82474880655884,0.547326402706272,0,0.660960116786383,0
0.0361266758289081,0.00958191870674606,0,0.00382524915025123,0,0.0664561149166496,2.94542344978741,0.517232635810776,0.0878317645239296,0.0186589512007232,0.174745543270336,0.415523550598028,4.58767959887654,0.00489213153793515,0.066003533457643,0,0.078329614448025,0.0835268307323138,0.184562772771431,0.119139942291557,0,0.00769628721868411,1.04446757524911,0.00421552581951113,0.0413218485426546,0.823256227389848,0.0869330422583785,0.495835885460089,0.0469574144414136,4.10685088716062,0.160212201615219,0,0.615558365112572,0
0.0542997283423886,0.00190073979244024,0,0.00219834025043134,0,0.0756927249714472,0.887587873316132,0.144643583648938,1.29691438606636,0.0270790811835106,0.277700553041324,0.629697016237153,1.40907301965494,0.00962789882459905,0.120821445696324,0,0.0621006065607183,0.221008299337594,0.482701420189868,0.13173805536594,0,0.0387981557320495,0.207693349328787,0.00255265369674796,0.0316136968331695,0.319753849478392,0.223560756844533,0.137076048012608,0.0674611149293981,4.32102435279977,0.469272898320333,0,0.585047944991035,0
0,0,0,0.0172400851639624,0,-1.37386353532281,-0.0225047635222143,0.394288747176624,-1.92038032825243,1.48487620059537,-1.71327917668741,-1.26415319745295,0.983074199759259,0.0131393397724948,1.30417643591214,0,0.315471291180967,0.0556138443720045,0,0.00751481962652932,0,0.571243802482663,0.00262311669567499,0.00639081256522959,0.00302027225276186,0.0229293035480576,0.00561160475890071,0.399145890068194,-0.241034367278592,2.42717413910966,-0.213799376057137,0,1.04154307559862,0
